Quarter,Gross Profit
1994 FQ1,374866
1994 FQ2,309661
1994 FQ3,334779
1994 FQ4,395234
1995 FQ1,469908
1995 FQ2,413715
1995 FQ3,446293
1995 FQ4,554438
1996 FQ1,686641
1996 FQ2,528629
1996 FQ3,628723
1996 FQ4,704386
1997 FQ1,919807
1997 FQ2,829406
1997 FQ3,988221
1997 FQ4,927566
1998 FQ1,1100600
1998 FQ2,845800
1998 FQ3,795200
1998 FQ4,734900
1999 FQ1,942200
1999 FQ2,683400
1999 FQ3,811900
1999 FQ4,848100
2000 FQ1,966400
2000 FQ2,821700
2000 FQ3,875200
2000 FQ4,912200
2001 FQ1,1067500
2001 FQ2,871400
2001 FQ3,828600
2001 FQ4,936500
2002 FQ1,1028900
2002 FQ2,895400
2002 FQ3,883500
2002 FQ4,1080500
2003 FQ1,1157100
2003 FQ2,1010100
2003 FQ3,976000
2003 FQ4,1240200
2004 FQ1,1301500
2004 FQ2,1199600
2004 FQ3,1221900
2004 FQ4,1528700
2005 FQ1,1585800
2005 FQ2,1388100
2005 FQ3,1458800
2005 FQ4,1682700
2006 FQ1,1748100
2006 FQ2,1511400
2006 FQ3,1574100
2006 FQ4,1753400
2007 FQ1,1849200
2007 FQ2,1657100
2007 FQ3,1735200
2007 FQ4,1919000
2008 FQ1,2087000
2008 FQ2,1921100
2008 FQ3,2047900
2008 FQ4,2331400
2009 FQ1,2562100
2009 FQ2,2050000
2009 FQ3,1948500
2009 FQ4,2043800
2010 FQ1,2216000
2010 FQ2,1960000
2010 FQ3,2218000
2010 FQ4,2406000
2011 FQ1,2434000
2011 FQ2,2193000
2011 FQ3,2327000
2011 FQ4,2554000
2012 FQ1,2618000
2012 FQ2,2376000
2012 FQ3,2485000
2012 FQ4,2669000
2013 FQ1,2828000
2013 FQ2,2530000
2013 FQ3,2736000
2013 FQ4,2940000
2014 FQ1,3132000
2014 FQ2,2826000
2014 FQ3,3103000
2014 FQ4,3385000
2015 FQ1,3721000
2015 FQ2,3327000
2015 FQ3,3426000
2015 FQ4,3593000
2016 FQ1,3995000
2016 FQ2,3501000
2016 FQ3,3689000
2016 FQ4,3786000
2017 FQ1,4123000
2017 FQ2,3616000
2017 FQ3,3750000
2017 FQ4,3823000
2018 FQ1,3962000
2018 FQ2,3678000
2018 FQ3,3938000
2018 FQ4,4378000
2019 FQ1,4397000
2019 FQ2,4105000
2019 FQ3,4339000
2019 FQ4,4633000
2020 FQ1,4871000
2020 FQ2,4544000
2020 FQ3,4473000
2020 FQ4,2353000
2021 FQ1,4741000
2021 FQ2,4877000
2021 FQ3,4725000
2021 FQ4,5658000
2022 FQ1,5696000
